GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
PUM	FBgn0003165	FBtr0081991	FBpp0081471	41094
PUM	FBgn0003165	FBtr0081992	FBpp0081472	41094
PUM	FBgn0003165	FBtr0081993	FBpp0081473	41094
PUM	FBgn0003165	FBtr0081990	FBpp0081470	41094
PUM	FBgn0003165	FBtr0333667	FBpp0305823	41094
GALPHAS	FBgn0001123	FBtr0072143	FBpp0072052	37805
GALPHAS	FBgn0001123	FBtr0072144	FBpp0072053	37805
GALPHAS	FBgn0001123	FBtr0301411	FBpp0290625	37805
GALPHAS	FBgn0001123	FBtr0343279	FBpp0309944	37805
GALPHAS	FBgn0001123	FBtr0072142	FBpp0072051	37805
CG4891	FBgn0028520	FBtr0080815	FBpp0080373	34948
ALPHA-EST8	FBgn0015576	FBtr0081553	FBpp0081077	40899
CG2918	FBgn0023529	FBtr0070411	FBpp0070395	31215
CG2918	FBgn0023529	FBtr0300792	FBpp0290016	31215
CG17005	FBgn0032109	FBtr0336624	FBpp0307607	34249
CG17005	FBgn0032109	FBtr0336623	FBpp0307606	34249
CG17005	FBgn0032109	FBtr0336622	FBpp0307605	34249
CG17005	FBgn0032109	FBtr0273186	FBpp0271694	34249
CG45101	FBgn0266540	FBtr0344636	FBpp0310953	19834824
CG34330	FBgn0085359	FBtr0112532	FBpp0111444	2768869
CG34330	FBgn0085359	FBtr0346017	FBpp0311890	2768869
CG13003	FBgn0030798	FBtr0300431	FBpp0289660	32675
CG13003	FBgn0030798	FBtr0074349	FBpp0074123	32675
CG13003	FBgn0030798	FBtr0331739	FBpp0304128	32675
CG42790	FBgn0261861	FBtr0310469	FBpp0302617	10178860
CG42790	FBgn0261861	FBtr0310470	FBpp0302618	10178860
CG5246	FBgn0038484	FBtr0083405	FBpp0082846	42072
MRPL3	FBgn0030686	FBtr0074090	FBpp0073906	32523
CG2070	FBgn0033203	FBtr0336999	FBpp0307929	35706
CG2070	FBgn0033203	FBtr0088921	FBpp0087995	35706
CG31463	FBgn0051463	FBtr0081831	FBpp0081321	40978
CG11659	FBgn0038731	FBtr0083797	FBpp0083208	42352
KLP61F	FBgn0004378	FBtr0072733	FBpp0072616	38135
ARL4	FBgn0039889	FBtr0308248	FBpp0300568	43771
ARL4	FBgn0039889	FBtr0089153	FBpp0088220	43771
ARL4	FBgn0039889	FBtr0333677	FBpp0305833	43771
