GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
CG40178	FBgn0058178	FBtr0113818	FBpp0112541
CG40178	FBgn0058178	FBtr0113817	FBpp0112540
CG40178	FBgn0058178	FBtr0333869	FBpp0306001
LQF	FBgn0028582	FBtr0331838	FBpp0304222
LQF	FBgn0028582	FBtr0331833	FBpp0304217
LQF	FBgn0028582	FBtr0112941	FBpp0111854
LQF	FBgn0028582	FBtr0076797	FBpp0089150
LQF	FBgn0028582	FBtr0076796	FBpp0076510
LQF	FBgn0028582	FBtr0076794	FBpp0076508
LQF	FBgn0028582	FBtr0076798	FBpp0089151
LQF	FBgn0028582	FBtr0331835	FBpp0304219
LQF	FBgn0028582	FBtr0331834	FBpp0304218
LQF	FBgn0028582	FBtr0331837	FBpp0304221
LQF	FBgn0028582	FBtr0076795	FBpp0076509
LQF	FBgn0028582	FBtr0331836	FBpp0304220
CG6689	FBgn0037877	FBtr0082368	FBpp0081844
CG42463	FBgn0259953	FBtr0302203	FBpp0291413
EST-P	FBgn0000594	FBtr0076004	FBpp0075736
CG12177	FBgn0030510	FBtr0340399	FBpp0309345
CG12177	FBgn0030510	FBtr0073846	FBpp0073677
CG12177	FBgn0030510	FBtr0346119	FBpp0311948
P58IPK	FBgn0037718	FBtr0082074	FBpp0081552
CG7448	FBgn0037143	FBtr0345135	FBpp0311356
CG7448	FBgn0037143	FBtr0078473	FBpp0078126
CG3797	FBgn0036842	FBtr0332648	FBpp0304894
CG3797	FBgn0036842	FBtr0075037	FBpp0074804
FRQ1	FBgn0030897	FBtr0100239	FBpp0099625
FRQ1	FBgn0030897	FBtr0335120	FBpp0307121
FRQ1	FBgn0030897	FBtr0074545	FBpp0074319
FRQ1	FBgn0030897	FBtr0335119	FBpp0307120
CG15147	FBgn0032654	FBtr0080988	FBpp0080541
CG14218	FBgn0031031	FBtr0308569	FBpp0300793
CG14218	FBgn0031031	FBtr0308568	FBpp0300792
RPT3R	FBgn0037742	FBtr0301536	FBpp0290751
RPT3R	FBgn0037742	FBtr0332172	FBpp0304481
TPNC41C	FBgn0013348	FBtr0310003	FBpp0301709
TPNC41C	FBgn0013348	FBtr0086102	FBpp0085438
FIP1	FBgn0037255	FBtr0078928	FBpp0078568
PITA	FBgn0034878	FBtr0072113	FBpp0072022
PITA	FBgn0034878	FBtr0072112	FBpp0072021
CG31961	FBgn0051961	FBtr0077484	FBpp0077173
CG31961	FBgn0051961	FBtr0077485	FBpp0077174
CG31010	FBgn0051010	FBtr0335453	FBpp0307431
CG31010	FBgn0051010	FBtr0085725	FBpp0085087
CG14629	FBgn0040398	FBtr0070179	FBpp0070172
CG42753	FBgn0261807	FBtr0303283	FBpp0292375
CG14439	FBgn0029898	FBtr0302356	FBpp0291552
CG14439	FBgn0029898	FBtr0302357	FBpp0291553
CG14439	FBgn0029898	FBtr0070960	FBpp0070921
PP1-13C	FBgn0003132	FBtr0074017	FBpp0073834
RAD51D	FBgn0030931	FBtr0074592	FBpp0074364
CG13295	FBgn0035674	FBtr0077065	FBpp0076773
CG7889	FBgn0031003	FBtr0074675	FBpp0074446
CG10702	FBgn0032752	FBtr0081175	FBpp0080717
CG10702	FBgn0032752	FBtr0303241	FBpp0292333
CG10702	FBgn0032752	FBtr0081176	FBpp0080718
CG10702	FBgn0032752	FBtr0081174	FBpp0080716
CG44422	FBgn0265595	FBtr0340340	FBpp0309299
CG44422	FBgn0265595	FBtr0340338	FBpp0309297
CG44422	FBgn0265595	FBtr0340336	FBpp0309295
CG44422	FBgn0265595	FBtr0340337	FBpp0309296
CG44422	FBgn0265595	FBtr0340339	FBpp0309298
CG44422	FBgn0265595	FBtr0340335	FBpp0309294
ALPHA-EST6	FBgn0015574	FBtr0081549	FBpp0081073
NPC2B	FBgn0038198	FBtr0082888	FBpp0082349
NPC2B	FBgn0038198	FBtr0082889	FBpp0082350
POLO	FBgn0003124	FBtr0100318	FBpp0099722
POLO	FBgn0003124	FBtr0074839	FBpp0074608
CPR47EA	FBgn0033597	FBtr0088190	FBpp0087286
KARYBETA3	FBgn0087013	FBtr0336462	FBpp0307568
KARYBETA3	FBgn0087013	FBtr0078860	FBpp0078500
CBS	FBgn0086757	FBtr0309887	FBpp0301621
CBS	FBgn0086757	FBtr0087666	FBpp0086786
CBS	FBgn0086757	FBtr0309886	FBpp0301620
CG9154	FBgn0031777	FBtr0079213	FBpp0078844
CG9154	FBgn0031777	FBtr0343128	FBpp0309827
E(PC)	FBgn0000581	FBtr0330623	FBpp0303473
E(PC)	FBgn0000581	FBtr0330621	FBpp0303471
E(PC)	FBgn0000581	FBtr0088140	FBpp0087239
E(PC)	FBgn0000581	FBtr0088139	FBpp0087238
E(PC)	FBgn0000581	FBtr0330622	FBpp0303472
CG5589	FBgn0036754	FBtr0075170	FBpp0074936
DRSL2	FBgn0052279	FBtr0073059	FBpp0072923
CG5665	FBgn0036977	FBtr0308655	FBpp0300878
CG5665	FBgn0036977	FBtr0308646	FBpp0300869
EIP63F-1	FBgn0004910	FBtr0073174	FBpp0073031
EIP63F-1	FBgn0004910	FBtr0303422	FBpp0292483
EIP63F-1	FBgn0004910	FBtr0303421	FBpp0292482
EIP63F-1	FBgn0004910	FBtr0303420	FBpp0292481
CG15887	FBgn0038132	FBtr0082776	FBpp0082244
CYP6A23	FBgn0033978	FBtr0087452	FBpp0086582
CG8112	FBgn0037612	FBtr0305337	FBpp0293880
CG8112	FBgn0037612	FBtr0343149	FBpp0309848
CG8112	FBgn0037612	FBtr0305338	FBpp0293881
CG31547	FBgn0051547	FBtr0078764	FBpp0078411
CG31547	FBgn0051547	FBtr0078765	FBpp0078412
VSX1	FBgn0263511	FBtr0340495	FBpp0309431
VSX1	FBgn0263511	FBtr0070781	FBpp0070747
OSI14	FBgn0040279	FBtr0078606	FBpp0078255
STAI	FBgn0266521	FBtr0304908	FBpp0293447
STAI	FBgn0266521	FBtr0333406	FBpp0305598
STAI	FBgn0266521	FBtr0079198	FBpp0078829
