GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene ID
AQP-6	WBGene00000174	C32C4.2c	C32C4.2c	183121
AQP-6	WBGene00000174	C32C4.2d	C32C4.2d	183121
AQP-7	WBGene00000175	M02F4.8.1	M02F4.8.1	180589
AQP-7	WBGene00000175	M02F4.8.2	M02F4.8.2	180589
AQP-8	WBGene00000176	K02G10.7a	K02G10.7a	180744
AQP-8	WBGene00000176	K02G10.7b	K02G10.7b	180744
AQP-9	WBGene00000177	K07A1.16a	K07A1.16a	3565336
AQP-9	WBGene00000177	K07A1.16b	K07A1.16b	3565336
AQP-10	WBGene00000178	ZK1321.3	ZK1321.3	174537
AQP-11	WBGene00000179	ZK525.2	ZK525.2	191343
ARC-1	WBGene00000180	ZK1320.6	ZK1320.6	174525
ARD-1	WBGene00000181	F01G4.2a	F01G4.2a	178016
ARD-1	WBGene00000181	F01G4.2b.1	F01G4.2b.1	178016
ARD-1	WBGene00000181	F01G4.2b.2	F01G4.2b.2	178016
ARF-1.2	WBGene00000182	B0336.2.1	B0336.2.1	175801
ARF-1.2	WBGene00000182	B0336.2.2	B0336.2.2	175801
ARF-3	WBGene00000183	F57H12.1	F57H12.1	177595
ARF-6	WBGene00000184	Y116A8C.12	Y116A8C.12	191608
ARG-1	WBGene00000185	F31A9.3a	F31A9.3a	180501
ARG-1	WBGene00000185	F31A9.3b	F31A9.3b	180501
ARK-1	WBGene00000186	C01C7.1a	C01C7.1a	178218
ARK-1	WBGene00000186	C01C7.1b	C01C7.1b	178218
ARL-1	WBGene00000187	F54C9.10.1	F54C9.10.1	174375
ARL-1	WBGene00000187	F54C9.10.2	F54C9.10.2	174375
ARL-3	WBGene00000188	F19H8.3	F19H8.3	175121
ARL-5	WBGene00000189	ZK632.8	ZK632.8	176392
ARF-1.1	WBGene00000190	F45E4.1	F45E4.1	191609
ARL-8	WBGene00000192	Y57G11C.13	Y57G11C.13	178405
ARL-6	WBGene00000193	C38D4.8	C38D4.8	183311
ARR-1	WBGene00000195	F53H8.2	F53H8.2	180446
AARS-1	WBGene00000196	W02B12.6a	W02B12.6a	174749
AARS-1	WBGene00000196	W02B12.6b		174749
AARS-2	WBGene00000197	F28H1.3.1	F28H1.3.1	171985
AARS-2	WBGene00000197	F28H1.3.2	F28H1.3.2	171985
AARS-2	WBGene00000197	F28H1.3.3	F28H1.3.3	171985
ART-1	WBGene00000198	C15F1.6	C15F1.6	174140
ARX-1	WBGene00000199	Y71F9AL.16	Y71F9AL.16	171857
ARX-2	WBGene00000200	K07C5.1	K07C5.1	179440
ARX-3	WBGene00000201	Y79H2A.6	Y79H2A.6	3565442
EXOS-4.2	WBGene00000202	Y6D11A.1	Y6D11A.1	259488
ARX-5	WBGene00000203	Y37D8A.1	Y37D8A.1	176697
ARX-6	WBGene00000204	C35D10.16	C35D10.16	175650
