GENE NAME	Gene stable ID	Transcript stable ID	Protein stable ID
ALH-12	WBGene00000118	Y69F12A.2a.1	Y69F12A.2a.1
ALH-12	WBGene00000118	Y69F12A.2a.2	Y69F12A.2a.2
ALH-12	WBGene00000118	Y69F12A.2b.1	Y69F12A.2b.1
ALH-12	WBGene00000118	Y69F12A.2b.2	Y69F12A.2b.2
ALY-1	WBGene00000120	C01F6.5	C01F6.5
ALY-2	WBGene00000121	F23B2.6	F23B2.6
ALY-3	WBGene00000122	M18.7a.1	M18.7a.1
ALY-3	WBGene00000122	M18.7a.2	M18.7a.2
ALY-3	WBGene00000122	M18.7b
AMA-1	WBGene00000123	F36A4.7	F36A4.7
AMT-1	WBGene00000133	C05E11.4	C05E11.4
AMT-2	WBGene00000134	F49E11.3	F49E11.3
AMT-3	WBGene00000135	M195.3	M195.3
AMT-4	WBGene00000136	C05E11.5	C05E11.5
AMX-1	WBGene00000137	R13G10.2	R13G10.2
AMX-2	WBGene00000138	B0019.1	B0019.1
AMX-3	WBGene00000139	F25C8.2a	F25C8.2a
AMX-3	WBGene00000139	F25C8.2b	F25C8.2b
ANC-1	WBGene00000140	ZK973.6	ZK973.6
AOS-1	WBGene00000142	C08B6.9	C08B6.9
APC-2	WBGene00000143	K06H7.6	K06H7.6
APC-10	WBGene00000144	F15H10.3a.1	F15H10.3a.1
APC-10	WBGene00000144	F15H10.3a.2	F15H10.3a.2
APC-10	WBGene00000144	F15H10.3a.3	F15H10.3a.3
APC-10	WBGene00000144	F15H10.3b	F15H10.3b
APC-10	WBGene00000144	F15H10.3c	F15H10.3c
APC-10	WBGene00000144	F15H10.3d	F15H10.3d
APC-11	WBGene00000145	F35G12.9	F35G12.9
APE-1	WBGene00000146	F46F3.4a	F46F3.4a
APE-1	WBGene00000146	F46F3.4b	F46F3.4b
APE-1	WBGene00000146	F46F3.4c	F46F3.4c
APE-1	WBGene00000146	F46F3.4d	F46F3.4d
APH-1	WBGene00000147	VF36H2L.1	VF36H2L.1
APH-2	WBGene00000148	ZC434.6a	ZC434.6a
APH-2	WBGene00000148	ZC434.6b	ZC434.6b
APL-1	WBGene00000149	C42D8.8a	C42D8.8a
APL-1	WBGene00000149	C42D8.8b	C42D8.8b
APM-1	WBGene00000150	F55A12.7	F55A12.7
APN-1	WBGene00000151	T05H10.2	T05H10.2
APP-1	WBGene00000155	W03G9.4.1	W03G9.4.1
APP-1	WBGene00000155	W03G9.4.2	W03G9.4.2
APR-1	WBGene00000156	K04G2.8a	K04G2.8a
APR-1	WBGene00000156	K04G2.8b	K04G2.8b
APS-2	WBGene00000157	F02E8.3	F02E8.3
APG-1	WBGene00000158	Y105E8A.9	Y105E8A.9
APS-1	WBGene00000159	F29G9.3	F29G9.3
APB-1	WBGene00000160	Y71H2B.10a	Y71H2B.10a
APB-1	WBGene00000160	Y71H2B.10b	Y71H2B.10b
APB-1	WBGene00000160	Y71H2B.10c	Y71H2B.10c
APA-2	WBGene00000161	T20B5.1.1	T20B5.1.1
APA-2	WBGene00000161	T20B5.1.2	T20B5.1.2
APD-3	WBGene00000162	W09G10.4a	W09G10.4a
APD-3	WBGene00000162	W09G10.4b	W09G10.4b
APB-3	WBGene00000163	R11A5.1a	R11A5.1a
APB-3	WBGene00000163	R11A5.1b	R11A5.1b
APM-3	WBGene00000164	F53H8.1	F53H8.1
APS-3	WBGene00000165	Y48G8AL.14	Y48G8AL.14
APT-9	WBGene00000166	W04G3.4	W04G3.4
APX-1	WBGene00000168	K08D9.3	K08D9.3
AQP-1	WBGene00000169	F32A5.5a	F32A5.5a
AQP-1	WBGene00000169	F32A5.5b.1	F32A5.5b.1
AQP-1	WBGene00000169	F32A5.5b.2	F32A5.5b.2
AQP-2	WBGene00000170	C01G6.1a.1	C01G6.1a.1
AQP-2	WBGene00000170	C01G6.1a.2	C01G6.1a.2
AQP-2	WBGene00000170	C01G6.1a.3	C01G6.1a.3
AQP-2	WBGene00000170	C01G6.1b.1	C01G6.1b.1
AQP-2	WBGene00000170	C01G6.1b.2	C01G6.1b.2
AQP-2	WBGene00000170	C01G6.1b.3	C01G6.1b.3
AQP-3	WBGene00000171	Y69E1A.7a	Y69E1A.7a
AQP-3	WBGene00000171	Y69E1A.7b	Y69E1A.7b
AQP-4	WBGene00000172	F40F9.9	F40F9.9
AQP-5	WBGene00000173	C35A5.1	C35A5.1
AQP-6	WBGene00000174	C32C4.2a	C32C4.2a
AQP-6	WBGene00000174	C32C4.2b	C32C4.2b
AQP-6	WBGene00000174	C32C4.2c	C32C4.2c
AQP-6	WBGene00000174	C32C4.2d	C32C4.2d
AQP-7	WBGene00000175	M02F4.8.1	M02F4.8.1
AQP-7	WBGene00000175	M02F4.8.2	M02F4.8.2
AQP-8	WBGene00000176	K02G10.7a	K02G10.7a
AQP-8	WBGene00000176	K02G10.7b	K02G10.7b
AQP-9	WBGene00000177	K07A1.16a	K07A1.16a
AQP-9	WBGene00000177	K07A1.16b	K07A1.16b
AQP-10	WBGene00000178	ZK1321.3	ZK1321.3
AQP-11	WBGene00000179	ZK525.2	ZK525.2
ARC-1	WBGene00000180	ZK1320.6	ZK1320.6
ARD-1	WBGene00000181	F01G4.2a	F01G4.2a
ARD-1	WBGene00000181	F01G4.2b.1	F01G4.2b.1
ARD-1	WBGene00000181	F01G4.2b.2	F01G4.2b.2
ARF-1.2	WBGene00000182	B0336.2.1	B0336.2.1
ARF-1.2	WBGene00000182	B0336.2.2	B0336.2.2
ARF-3	WBGene00000183	F57H12.1	F57H12.1
ARF-6	WBGene00000184	Y116A8C.12	Y116A8C.12
ARG-1	WBGene00000185	F31A9.3a	F31A9.3a
ARG-1	WBGene00000185	F31A9.3b	F31A9.3b
ARK-1	WBGene00000186	C01C7.1a	C01C7.1a
ARK-1	WBGene00000186	C01C7.1b	C01C7.1b
ARL-1	WBGene00000187	F54C9.10.1	F54C9.10.1
ARL-1	WBGene00000187	F54C9.10.2	F54C9.10.2
ARL-3	WBGene00000188	F19H8.3	F19H8.3
ARL-5	WBGene00000189	ZK632.8	ZK632.8
ARF-1.1	WBGene00000190	F45E4.1	F45E4.1
ARL-8	WBGene00000192	Y57G11C.13	Y57G11C.13
ARL-6	WBGene00000193	C38D4.8	C38D4.8
ARR-1	WBGene00000195	F53H8.2	F53H8.2
AARS-1	WBGene00000196	W02B12.6a	W02B12.6a
AARS-1	WBGene00000196	W02B12.6b
AARS-2	WBGene00000197	F28H1.3.1	F28H1.3.1
AARS-2	WBGene00000197	F28H1.3.2	F28H1.3.2
AARS-2	WBGene00000197	F28H1.3.3	F28H1.3.3
ART-1	WBGene00000198	C15F1.6	C15F1.6
ARX-1	WBGene00000199	Y71F9AL.16	Y71F9AL.16
ARX-2	WBGene00000200	K07C5.1	K07C5.1
ARX-3	WBGene00000201	Y79H2A.6	Y79H2A.6
EXOS-4.2	WBGene00000202	Y6D11A.1	Y6D11A.1
ARX-5	WBGene00000203	Y37D8A.1	Y37D8A.1
ARX-6	WBGene00000204	C35D10.16	C35D10.16
ARX-7	WBGene00000205	M01B12.3	M01B12.3
ASB-1	WBGene00000206	F35G12.10.1	F35G12.10.1
ASB-1	WBGene00000206	F35G12.10.2	F35G12.10.2
ASB-2	WBGene00000207	F02E8.1.1	F02E8.1.1
ASB-2	WBGene00000207	F02E8.1.2	F02E8.1.2
ASB-2	WBGene00000207	F02E8.1.3	F02E8.1.3
ASC-1	WBGene00000208	Y53F4B.15	Y53F4B.15
ASG-1	WBGene00000209	K07A12.3	K07A12.3
ASG-2	WBGene00000210	C53B7.4	C53B7.4
ASM-1	WBGene00000211	B0252.2	B0252.2
ASM-2	WBGene00000212	ZK455.4	ZK455.4
ASM-3	WBGene00000213	W03G1.7a	W03G1.7a
ASM-3	WBGene00000213	W03G1.7b	W03G1.7b
ASP-1	WBGene00000214	Y39B6A.20.1	Y39B6A.20.1
ASP-1	WBGene00000214	Y39B6A.20.2	Y39B6A.20.2
ASP-1	WBGene00000214	Y39B6A.20.3	Y39B6A.20.3
ASP-2	WBGene00000215	T18H9.2a	T18H9.2a
ASP-2	WBGene00000215	T18H9.2b	T18H9.2b
ASP-3	WBGene00000216	H22K11.1	H22K11.1
ASP-4	WBGene00000217	R12H7.2	R12H7.2
ASP-5	WBGene00000218	F21F8.3.1	F21F8.3.1
ASP-5	WBGene00000218	F21F8.3.2	F21F8.3.2
ASP-6	WBGene00000219	F21F8.7	F21F8.7
ATF-2	WBGene00000220	K08F8.2	K08F8.2
ATF-5	WBGene00000221	T04C10.4.1	T04C10.4.1
ATF-5	WBGene00000221	T04C10.4.2	T04C10.4.2
ATF-6	WBGene00000222	F45E6.2	F45E6.2
ATF-7	WBGene00000223	C07G2.2a	C07G2.2a
ATF-7	WBGene00000223	C07G2.2b	C07G2.2b
ATF-7	WBGene00000223	C07G2.2c.1	C07G2.2c.1
ATF-7	WBGene00000223	C07G2.2c.2	C07G2.2c.2
ATF-7	WBGene00000223	C07G2.2d.1	C07G2.2d.1
ATF-7	WBGene00000223	C07G2.2d.2	C07G2.2d.2
ATGP-1	WBGene00000224	F26D10.9a	F26D10.9a
ATGP-1	WBGene00000224	F26D10.9b	F26D10.9b
ATGP-2	WBGene00000225	C38C6.2a	C38C6.2a
ATGP-2	WBGene00000225	C38C6.2b	C38C6.2b
ATGP-2	WBGene00000225	C38C6.2c.1	C38C6.2c.1
ATGP-2	WBGene00000225	C38C6.2c.2	C38C6.2c.2
ATL-1	WBGene00000226	T06E4.3a	T06E4.3a
ATL-1	WBGene00000226	T06E4.3b	T06E4.3b
ATL-1	WBGene00000226	T06E4.3c	T06E4.3c
ATM-1	WBGene00000227	Y48G1BL.2a	Y48G1BL.2a
ATM-1	WBGene00000227	Y48G1BL.2b	Y48G1BL.2b
ATN-1	WBGene00000228	W04D2.1a	W04D2.1a
ATN-1	WBGene00000228	W04D2.1b	W04D2.1b
ATN-1	WBGene00000228	W04D2.1c	W04D2.1c
ATN-1	WBGene00000228	W04D2.1d	W04D2.1d
ATP-2	WBGene00000229	C34E10.6.1	C34E10.6.1
ATP-2	WBGene00000229	C34E10.6.2	C34E10.6.2
ATP-2	WBGene00000229	C34E10.6.3	C34E10.6.3
ATP-3	WBGene00000230	F27C1.7a.1	F27C1.7a.1
ATP-3	WBGene00000230	F27C1.7a.2	F27C1.7a.2
ATP-3	WBGene00000230	F27C1.7a.3	F27C1.7a.3
ATP-3	WBGene00000230	F27C1.7a.4	F27C1.7a.4
ATP-3	WBGene00000230	F27C1.7a.5	F27C1.7a.5
ATP-3	WBGene00000230	F27C1.7b	F27C1.7b
ATX-2	WBGene00000231	D2045.1a	D2045.1a
ATX-2	WBGene00000231	D2045.1b	D2045.1b
ATX-2	WBGene00000231	D2045.1c	D2045.1c
ATX-2	WBGene00000231	D2045.1d	D2045.1d
AVR-14	WBGene00000232	B0207.12a	B0207.12a
AVR-14	WBGene00000232	B0207.12b	B0207.12b
AVR-14	WBGene00000232	B0207.12c	B0207.12c
AVR-15	WBGene00000233	R11G10.1a	R11G10.1a
AVR-15	WBGene00000233	R11G10.1b.1	R11G10.1b.1
AVR-15	WBGene00000233	R11G10.1b.2	R11G10.1b.2
AVR-15	WBGene00000233	R11G10.1c	R11G10.1c
BAF-1	WBGene00000235	B0464.7	B0464.7
BAG-1	WBGene00000236	F57B10.11	F57B10.11
BAM-2	WBGene00000237	Y71F9AR.1	Y71F9AR.1
BAR-1	WBGene00000238	C54D1.6	C54D1.6
BAS-1	WBGene00000239	C05D2.4a	C05D2.4a
