Gene stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	Gene name
YLR117C	850808	Q12309	CLF1
YJL189W	853250	P04650	RPL39
YOR274W	854448	P07884	MOD5
YNL277W	855444	P08465	MET2
YAL064W-B	851233	O13512	
YDR097C	851671	Q03834	MSH6
YIL163C	854643	P40448	
YAL018C	851215	P31379	LDS1
YBR042C	852330	P38226	CST26
YKL068W-A	1500487	Q3E826	
YKR062W	853936	P36145	TFA2
YNL126W	855597	P53540	SPC98
YKL091C	853771	P33324	
YOL013W-B		Q870I1	
YKR073C		P36153	
YJR039W	853495	P47107	
Q0142		Q9ZZW4	
YGR194C	853108	P42826	XKS1
YML075C	854900	P12683	HMG1
YHR064C	856461	P38788	SSZ1
YMR075W	855097	Q04779	RCO1
YKR087C	853962	P36163	OMA1
YBR150C	852447	P38114	TBS1
YER147C-A		A0A023PXD5	
YOR343C		Q12484	
YDR042C	851612	Q03205	
YGL026C	852858	P00931	TRP5
YNL210W	855511	P16523	MER1
YNR041C	855778	P32378	COQ2
YML129C	854910	P39103	COX14
YGL213C	852659	Q02793	SKI8
YHL041W		P38730	
YLR110C	850800	Q12127	CCW12
YOR093C	854260	Q12275	CMR2
Q0275	24573142	P00420	COX3
Q0275	854627	P00420	COX3
YGL248W	852644	P22434	PDE1
YNL193W	855528	P53870	
YNL301C	854029	P0CX49	RPL18B
YNL301C	855415	P0CX49	RPL18B
YNL301C	854029	P0CX50	RPL18B
YNL301C	855415	P0CX50	RPL18B
YDL160C	851394	P39517	DHH1
YGL075C	852805	P53159	MPS2
YPL014W	856093	Q02606	CIP1
YHR143W	856546	P38844	DSE2
YGL256W	852636	P10127	ADH4
YDR425W	852035	Q04053	SNX41
YOR381W-A	1466489	Q3E804	
YBR298C	852601	P38156	MAL31
YEL036C	856675	P32629	ANP1
YBR143C	852440	P12385	SUP45
YML073C	854902	Q02326	RPL6A
YMR149W	855180	Q02795	SWP1
YNL263C	855458	P53845	YIF1
YAL037C-A	1466428	Q3E741	
YIL139C	854667	P38927	REV7
YLR072W	850761	Q08001	LAM6
YOL065C	854089	Q08227	INP54
YNL059C	855665	P53946	ARP5
YOR092W	854259	Q99252	ECM3
YMR233W	855273	Q05024	TRI1
YDR228C	851814	P39081	PCF11
YGL012W	852872	P25340	ERG4
YPL164C	855939	Q12083	MLH3
YPL163C	855940	Q12254	SVS1
YLR069C	850758	P25039	MEF1
YHR052W-A		P0CL32	
YHR052W-A		P0CL33	
YLR403W	851119	P32432	SFP1
YNL028W		P53967	
YOR207C	854382	P22276	RET1
YKL070W	853793	P36087	
YPR069C	856182	Q12074	SPE3
YPL038W-A	1466521	Q3E7B4	
YJL202C		P39532	
YDR319C	851917	Q06676	
YJL009W		P47078	
YDR471W	852082	P0C2H7	RPL27B
YLR008C	850694	Q07914	PAM18
YNL044W	855683	P53633	YIP3
YER094C	856830	P25451	PUP3
YBR014C	852302	P38068	GRX7
YDR089W	851663	P38966	VTC5
YMR048W	855067	Q04659	CSM3
YGL082W	852798	P53155	
YLR231C	850933	Q05979	BNA5
YOR365C	854548	Q08844	
YML030W	854978	Q03713	RCF1
YBR259W	852562	P38338	
YJR005W	853461	P27351	APL1
YMR118C	855145	Q04487	SHH3
YOL005C	854157	P38902	RPB11
YOL020W	854139	P38967	TAT2
YER038C	856760	P40026	KRE29
YKR038C	853910	P36132	KAE1
YKR048C	853922	P25293	NAP1
YLR264W	850969	P0C0X0	RPS28B
YIL068C	854742	P32844	SEC6
YPR072W	856186	Q12514	NOT5
YJL006C	853450	P46962	CTK2
YKL096W-A	853765	P43497	CWP2
YCR097W-A		Q96VG6	
YGR161C	853065	P53289	RTS3
YIL065C	854745	P40515	FIS1
YBR060C	852352	P32833	ORC2
YFR036W	850597	P14724	CDC26
YKL014C	853855	P34241	URB1
YOL053W	854103	Q08223	AIM39
YDR275W	851868	Q05611	BSC2
YJR150C	853615	P47178	DAN1
YPR067W	856180	Q12425	ISA2
YCR025C		P25352	
YPL175W	855928	P32363	SPT14
YIL098C	854709	P40491	FMC1
YLR164W	850861	Q06236	SHH4
YHL047C	856338	P38724	ARN2
YIL141W		P40461	
YHR175W-A	1466530	Q3E815	
YLR079W	850768	P38634	SIC1
YCR069W	850433	P25334	CPR4
YOL117W	854032	Q12348	RRI2
YHR003C	856392	P38756	TCD1
YLR103C	850793	Q08032	CDC45
YCR041W	850408	P37265	
YDR043C	851613	Q03125	NRG1
YLR170C	850868	P35181	APS1
YNL026W	855705	P53969	SAM50
YLR228C	850928	Q05958	ECM22
YPL088W	856017	Q02895	
YNL067W	855658	P51401	RPL9B
YFR006W	850556	P43590	
YLL036C	850623	P32523	PRP19
YJR098C	853561	P47139	
YJL103C	853341	P42950	GSM1
YLR467C-A		P0CL39	
YLR467C-A		P0CL40	
YLR467C-A		P0CL38	
YDR129C	851707	P32599	SAC6
YIL009W	854808	P39002	FAA3
YJL156C	853285	P47002	SSY5
YBR180W	852478	P38125	DTR1
YBL034C	852246	P38198	STU1
YDR136C		Q03913	VPS61
YKR082W	853957	P36161	NUP133
YHL032C	856353	P32190	GUT1
YHR154W	856559	P38850	RTT107
YNL205C		P40162	
YNL104C	855619	P06208	LEU4
YDL066W	851493	P21954	IDP1
YOR038C	854203	P32480	HIR2
YGR274C	853191	P46677	TAF1
YBR212W	852513	P32831	NGR1
YOR303W	854479	P07258	CPA1
YDR302W	851896	Q06636	GPI11
YIR021W-A	1466495	Q3E739	
YOR137C	854305	Q12212	SIA1
YCR102W-A		Q96VG5	
YLR198C		O13530	
YOL034W	854123	Q08204	SMC5
YOR052C	854217	Q08422	
YAL056C-A		O13513	
YDR239C	851825	Q03780	
YDR539W	852152	Q03034	FDC1
YBR071W	852363	P38243	
YDL125C	851432	Q04344	HNT1
YPL125W	855978	Q02932	KAP120
YPL090C	856015	P0CX37	RPS6A
YPL090C	852479	P0CX37	RPS6A
YPL090C	856015	P0CX38	RPS6A
YPL090C	852479	P0CX38	RPS6A
YPR120C	856237	P30283	CLB5
YLR411W	851129	Q06686	CTR3
YMR260C	855302	P38912	TIF11
YBL074C	852205	P32357	AAR2
YBL107C	852167	P38162	MIX23
YBR097W	852394	P22219	VPS15
YDR493W	852104	Q03429	MZM1
YPR198W	856327	P33335	SGE1
YLR056W	850745	P32353	ERG3
YJL185C	853254	P46983	ATG36
YOR190W	854362	P32603	SPR1
YIR020C-B		Q03888	
YGR031C-A	8656591	Q8TGN9	NAG1
YLR429W	851148	Q06440	CRN1
YMR135W-A		Q6B0X1	
YNL169C	855552	P39006	PSD1
YBR136W	852433	P38111	MEC1
YNL268W	855453	P32487	LYP1
YPR053C		Q6Q5F3	
YKR045C	853919	P36138	
Q0010		Q9ZZX9	
YJL135W		P47012	
YPR106W	856221	Q06098	ISR1
YDR101C	851678	Q03862	ARX1
YKL018C-A	853850	Q3E7A7	
YDR182W-A	1466434	Q3E796	
YEL034W	856677	P23301	HYP2
YHR031C	856426	P38766	RRM3
